Card1,Card2,Card3,Card4,Card5,Payout,Payout_4,Payout_13,Payout_31,Payout_51,Increase
9,7,5,5,3,0,0,0,0,0,0
T,7,5,5,3,0,0,0,0,0,0
J,7,5,5,3,0,0,0,0,0,0
Q,7,5,5,3,0,0,0,0,0,0
K,7,5,5,3,0,0,0,0,0,0
A,8,5,5,3,0,0,0,0,0,0
2,8,5,5,3,4,1,0,0,0,1
3,8,5,5,3,4,1,0,0,0,1
4,8,5,5,3,0,0,0,0,0,0
5,8,5,5,3,0,0,0,0,0,0
6,8,5,5,3,0,0,0,0,0,0
7,8,5,5,3,0,0,0,0,0,0
8,8,5,5,3,4,1,0,0,0,1
9,8,5,5,3,0,0,0,0,0,0
T,8,5,5,3,0,0,0,0,0,0
J,8,5,5,3,0,0,0,0,0,0
Q,8,5,5,3,0,0,0,0,0,0
K,8,5,5,3,0,0,0,0,0,0
A,9,5,5,3,0,0,0,0,0,0
2,9,5,5,3,4,1,0,0,0,1
3,9,5,5,3,0,0,0,0,0,0
4,9,5,5,3,0,0,0,0,0,0
5,9,5,5,3,0,0,0,0,0,0
6,9,5,5,3,0,0,0,0,0,0
7,9,5,5,3,0,0,0,0,0,0
8,9,5,5,3,0,0,0,0,0,0
9,9,5,5,3,4,1,0,0,0,1
T,9,5,5,3,0,0,0,0,0,0
J,9,5,5,3,0,0,0,0,0,0
Q,9,5,5,3,0,0,0,0,0,0
K,9,5,5,3,0,0,0,0,0,0
A,T,5,5,3,0,0,0,0,0,0
2,T,5,5,3,0,0,0,0,0,0
3,T,5,5,3,0,0,0,0,0,0
4,T,5,5,3,0,0,0,0,0,0
5,T,5,5,3,0,0,0,0,0,0
6,T,5,5,3,0,0,0,0,0,0
7,T,5,5,3,0,0,0,0,0,0
8,T,5,5,3,0,0,0,0,0,0
9,T,5,5,3,0,0,0,0,0,0
T,T,5,5,3,0,0,0,0,0,0
J,T,5,5,3,0,0,0,0,0,0
Q,T,5,5,3,0,0,0,0,0,0
K,T,5,5,3,0,0,0,0,0,0
A,J,5,5,3,0,0,0,0,0,0
2,J,5,5,3,0,0,0,0,0,0
3,J,5,5,3,0,0,0,0,0,0
4,J,5,5,3,0,0,0,0,0,0
5,J,5,5,3,0,0,0,0,0,0
6,J,5,5,3,0,0,0,0,0,0
7,J,5,5,3,0,0,0,0,0,0
8,J,5,5,3,0,0,0,0,0,0
9,J,5,5,3,0,0,0,0,0,0
T,J,5,5,3,0,0,0,0,0,0
J,J,5,5,3,0,0,0,0,0,0
Q,J,5,5,3,0,0,0,0,0,0
K,J,5,5,3,0,0,0,0,0,0
A,Q,5,5,3,0,0,0,0,0,0
2,Q,5,5,3,0,0,0,0,0,0
3,Q,5,5,3,0,0,0,0,0,0
4,Q,5,5,3,0,0,0,0,0,0
5,Q,5,5,3,0,0,0,0,0,0
6,Q,5,5,3,0,0,0,0,0,0
7,Q,5,5,3,0,0,0,0,0,0
8,Q,5,5,3,0,0,0,0,0,0
9,Q,5,5,3,0,0,0,0,0,0
T,Q,5,5,3,0,0,0,0,0,0
J,Q,5,5,3,0,0,0,0,0,0
Q,Q,5,5,3,0,0,0,0,0,0
K,Q,5,5,3,0,0,0,0,0,0
A,K,5,5,3,0,0,0,0,0,0
2,K,5,5,3,0,0,0,0,0,0
3,K,5,5,3,0,0,0,0,0,0
4,K,5,5,3,0,0,0,0,0,0
5,K,5,5,3,0,0,0,0,0,0
6,K,5,5,3,0,0,0,0,0,0
7,K,5,5,3,0,0,0,0,0,0
8,K,5,5,3,0,0,0,0,0,0
9,K,5,5,3,0,0,0,0,0,0
T,K,5,5,3,0,0,0,0,0,0
J,K,5,5,3,0,0,0,0,0,0
Q,K,5,5,3,0,0,0,0,0,0
K,K,5,5,3,0,0,0,0,0,0
A,A,6,5,3,4,1,0,0,0,1
2,A,6,5,3,0,0,0,0,0,0
3,A,6,5,3,0,0,0,0,0,0
4,A,6,5,3,0,0,0,0,0,0
5,A,6,5,3,0,0,0,0,0,0
6,A,6,5,3,0,0,0,0,0,0
7,A,6,5,3,0,0,0,0,0,0
8,A,6,5,3,0,0,0,0,0,0
9,A,6,5,3,0,0,0,0,0,0
T,A,6,5,3,0,0,0,0,0,0
J,A,6,5,3,0,0,0,0,0,0
Q,A,6,5,3,0,0,0,0,0,0
K,A,6,5,3,0,0,0,0,0,0
A,2,6,5,3,0,0,0,0,0,0
2,2,6,5,3,4,1,0,0,0,1
3,2,6,5,3,0,0,0,0,0,0
4,2,6,5,3,0,0,0,0,0,0
5,2,6,5,3,0,0,0,0,0,0
6,2,6,5,3,0,0,0,0,0,0
7,2,6,5,3,4,1,0,0,0,1
8,2,6,5,3,4,1,0,0,0,1
9,2,6,5,3,4,1,0,0,0,1
T,2,6,5,3,0,0,0,0,0,0
J,2,6,5,3,0,0,0,0,0,0
Q,2,6,5,3,0,0,0,0,0,0
K,2,6,5,3,0,0,0,0,0,0
A,3,6,5,3,0,0,0,0,0,0
2,3,6,5,3,0,0,0,0,0,0
3,3,6,5,3,13,0,1,0,0,1
4,3,6,5,3,0,0,0,0,0,0
5,3,6,5,3,0,0,0,0,0,0
6,3,6,5,3,4,1,0,0,0,1
7,3,6,5,3,4,1,0,0,0,1
8,3,6,5,3,4,1,0,0,0,1
9,3,6,5,3,0,0,0,0,0,0
T,3,6,5,3,0,0,0,0,0,0
J,3,6,5,3,0,0,0,0,0,0
Q,3,6,5,3,0,0,0,0,0,0
K,3,6,5,3,0,0,0,0,0,0
A,4,6,5,3,0,0,0,0,0,0
2,4,6,5,3,0,0,0,0,0,0
3,4,6,5,3,0,0,0,0,0,0
4,4,6,5,3,31,0,0,1,0,1
5,4,6,5,3,4,1,0,0,0,1
6,4,6,5,3,4,1,0,0,0,1
7,4,6,5,3,4,1,0,0,0,1
8,4,6,5,3,0,0,0,0,0,0
9,4,6,5,3,0,0,0,0,0,0
T,4,6,5,3,0,0,0,0,0,0
J,4,6,5,3,0,0,0,0,0,0
Q,4,6,5,3,0,0,0,0,0,0
K,4,6,5,3,0,0,0,0,0,0
A,5,6,5,3,0,0,0,0,0,0
2,5,6,5,3,0,0,0,0,0,0
3,5,6,5,3,0,0,0,0,0,0
4,5,6,5,3,4,1,0,0,0,1
5,5,6,5,3,31,0,0,1,0,1
6,5,6,5,3,4,1,0,0,0,1
7,5,6,5,3,0,0,0,0,0,0
8,5,6,5,3,0,0,0,0,0,0
9,5,6,5,3,0,0,0,0,0,0
T,5,6,5,3,0,0,0,0,0,0
J,5,6,5,3,0,0,0,0,0,0
Q,5,6,5,3,0,0,0,0,0,0
K,5,6,5,3,0,0,0,0,0,0
A,6,6,5,3,0,0,0,0,0,0
2,6,6,5,3,0,0,0,0,0,0
3,6,6,5,3,4,1,0,0,0,1
4,6,6,5,3,4,1,0,0,0,1
5,6,6,5,3,4,1,0,0,0,1
6,6,6,5,3,51,0,0,0,1,1
7,6,6,5,3,0,0,0,0,0,0
8,6,6,5,3,0,0,0,0,0,0
9,6,6,5,3,0,0,0,0,0,0
T,6,6,5,3,0,0,0,0,0,0
J,6,6,5,3,0,0,0,0,0,0
Q,6,6,5,3,0,0,0,0,0,0
K,6,6,5,3,0,0,0,0,0,0
A,7,6,5,3,0,0,0,0,0,0
2,7,6,5,3,4,1,0,0,0,1
3,7,6,5,3,4,1,0,0,0,1
4,7,6,5,3,4,1,0,0,0,1
5,7,6,5,3,0,0,0,0,0,0
6,7,6,5,3,0,0,0,0,0,0
7,7,6,5,3,4,1,0,0,0,1
8,7,6,5,3,0,0,0,0,0,0
9,7,6,5,3,0,0,0,0,0,0
T,7,6,5,3,0,0,0,0,0,0
J,7,6,5,3,0,0,0,0,0,0
Q,7,6,5,3,0,0,0,0,0,0
K,7,6,5,3,0,0,0,0,0,0
A,8,6,5,3,0,0,0,0,0,0
2,8,6,5,3,4,1,0,0,0,1
3,8,6,5,3,4,1,0,0,0,1
4,8,6,5,3,0,0,0,0,0,0
5,8,6,5,3,0,0,0,0,0,0
6,8,6,5,3,0,0,0,0,0,0
7,8,6,5,3,0,0,0,0,0,0
8,8,6,5,3,4,1,0,0,0,1
9,8,6,5,3,0,0,0,0,0,0
T,8,6,5,3,0,0,0,0,0,0
J,8,6,5,3,0,0,0,0,0,0
Q,8,6,5,3,0,0,0,0,0,0
K,8,6,5,3,0,0,0,0,0,0
A,9,6,5,3,0,0,0,0,0,0
2,9,6,5,3,4,1,0,0,0,1
3,9,6,5,3,0,0,0,0,0,0
4,9,6,5,3,0,0,0,0,0,0
5,9,6,5,3,0,0,0,0,0,0
6,9,6,5,3,0,0,0,0,0,0
7,9,6,5,3,0,0,0,0,0,0
8,9,6,5,3,0,0,0,0,0,0
9,9,6,5,3,4,1,0,0,0,1
T,9,6,5,3,0,0,0,0,0,0
J,9,6,5,3,0,0,0,0,0,0
Q,9,6,5,3,0,0,0,0,0,0
K,9,6,5,3,0,0,0,0,0,0
A,T,6,5,3,0,0,0,0,0,0
2,T,6,5,3,0,0,0,0,0,0
3,T,6,5,3,0,0,0,0,0,0
4,T,6,5,3,0,0,0,0,0,0
5,T,6,5,3,0,0,0,0,0,0
6,T,6,5,3,0,0,0,0,0,0
7,T,6,5,3,0,0,0,0,0,0
8,T,6,5,3,0,0,0,0,0,0
9,T,6,5,3,0,0,0,0,0,0
T,T,6,5,3,0,0,0,0,0,0
J,T,6,5,3,0,0,0,0,0,0
Q,T,6,5,3,0,0,0,0,0,0
K,T,6,5,3,0,0,0,0,0,0
A,J,6,5,3,0,0,0,0,0,0
2,J,6,5,3,0,0,0,0,0,0
3,J,6,5,3,0,0,0,0,0,0
4,J,6,5,3,0,0,0,0,0,0
5,J,6,5,3,0,0,0,0,0,0
6,J,6,5,3,0,0,0,0,0,0
7,J,6,5,3,0,0,0,0,0,0
8,J,6,5,3,0,0,0,0,0,0
9,J,6,5,3,0,0,0,0,0,0
T,J,6,5,3,0,0,0,0,0,0
J,J,6,5,3,0,0,0,0,0,0
Q,J,6,5,3,0,0,0,0,0,0
K,J,6,5,3,0,0,0,0,0,0
A,Q,6,5,3,0,0,0,0,0,0
2,Q,6,5,3,0,0,0,0,0,0
3,Q,6,5,3,0,0,0,0,0,0
4,Q,6,5,3,0,0,0,0,0,0
5,Q,6,5,3,0,0,0,0,0,0
6,Q,6,5,3,0,0,0,0,0,0
7,Q,6,5,3,0,0,0,0,0,0
8,Q,6,5,3,0,0,0,0,0,0
9,Q,6,5,3,0,0,0,0,0,0
T,Q,6,5,3,0,0,0,0,0,0
J,Q,6,5,3,0,0,0,0,0,0
Q,Q,6,5,3,0,0,0,0,0,0
K,Q,6,5,3,0,0,0,0,0,0
A,K,6,5,3,0,0,0,0,0,0
2,K,6,5,3,0,0,0,0,0,0
3,K,6,5,3,0,0,0,0,0,0
4,K,6,5,3,0,0,0,0,0,0
5,K,6,5,3,0,0,0,0,0,0
6,K,6,5,3,0,0,0,0,0,0
7,K,6,5,3,0,0,0,0,0,0
8,K,6,5,3,0,0,0,0,0,0
9,K,6,5,3,0,0,0,0,0,0
T,K,6,5,3,0,0,0,0,0,0
J,K,6,5,3,0,0,0,0,0,0
Q,K,6,5,3,0,0,0,0,0,0
K,K,6,5,3,0,0,0,0,0,0
A,A,7,5,3,4,1,0,0,0,1
2,A,7,5,3,0,0,0,0,0,0
3,A,7,5,3,0,0,0,0,0,0
4,A,7,5,3,0,0,0,0,0,0
5,A,7,5,3,0,0,0,0,0,0
6,A,7,5,3,0,0,0,0,0,0
7,A,7,5,3,0,0,0,0,0,0
8,A,7,5,3,0,0,0,0,0,0
9,A,7,5,3,0,0,0,0,0,0
T,A,7,5,3,0,0,0,0,0,0
J,A,7,5,3,0,0,0,0,0,0
Q,A,7,5,3,0,0,0,0,0,0
K,A,7,5,3,0,0,0,0,0,0
A,2,7,5,3,0,0,0,0,0,0
2,2,7,5,3,13,0,1,0,0,1
3,2,7,5,3,0,0,0,0,0,0
4,2,7,5,3,0,0,0,0,0,0
5,2,7,5,3,0,0,0,0,0,0
6,2,7,5,3,0,0,0,0,0,0
7,2,7,5,3,4,1,0,0,0,1
8,2,7,5,3,4,1,0,0,0,1
9,2,7,5,3,4,1,0,0,0,1
T,2,7,5,3,0,0,0,0,0,0
J,2,7,5,3,0,0,0,0,0,0
Q,2,7,5,3,0,0,0,0,0,0
K,2,7,5,3,0,0,0,0,0,0
A,3,7,5,3,0,0,0,0,0,0
2,3,7,5,3,0,0,0,0,0,0
3,3,7,5,3,13,0,1,0,0,1
4,3,7,5,3,0,0,0,0,0,0
5,3,7,5,3,0,0,0,0,0,0
6,3,7,5,3,4,1,0,0,0,1
7,3,7,5,3,4,1,0,0,0,1
8,3,7,5,3,4,1,0,0,0,1
9,3,7,5,3,0,0,0,0,0,0
T,3,7,5,3,0,0,0,0,0,0
J,3,7,5,3,0,0,0,0,0,0
Q,3,7,5,3,0,0,0,0,0,0
K,3,7,5,3,0,0,0,0,0,0
A,4,7,5,3,0,0,0,0,0,0
2,4,7,5,3,0,0,0,0,0,0
3,4,7,5,3,0,0,0,0,0,0
4,4,7,5,3,31,0,0,1,0,1
5,4,7,5,3,4,1,0,0,0,1
6,4,7,5,3,4,1,0,0,0,1
7,4,7,5,3,4,1,0,0,0,1
8,4,7,5,3,0,0,0,0,0,0
9,4,7,5,3,0,0,0,0,0,0
T,4,7,5,3,0,0,0,0,0,0
J,4,7,5,3,0,0,0,0,0,0
Q,4,7,5,3,0,0,0,0,0,0
K,4,7,5,3,0,0,0,0,0,0
A,5,7,5,3,0,0,0,0,0,0
2,5,7,5,3,0,0,0,0,0,0
3,5,7,5,3,0,0,0,0,0,0
4,5,7,5,3,4,1,0,0,0,1
5,5,7,5,3,13,0,1,0,0,1
6,5,7,5,3,4,1,0,0,0,1
7,5,7,5,3,0,0,0,0,0,0
8,5,7,5,3,0,0,0,0,0,0
9,5,7,5,3,0,0,0,0,0,0
T,5,7,5,3,0,0,0,0,0,0
J,5,7,5,3,0,0,0,0,0,0
Q,5,7,5,3,0,0,0,0,0,0
K,5,7,5,3,0,0,0,0,0,0
A,6,7,5,3,0,0,0,0,0,0
2,6,7,5,3,0,0,0,0,0,0
3,6,7,5,3,4,1,0,0,0,1
4,6,7,5,3,4,1,0,0,0,1
5,6,7,5,3,4,1,0,0,0,1
6,6,7,5,3,13,0,1,0,0,1
7,6,7,5,3,0,0,0,0,0,0
8,6,7,5,3,0,0,0,0,0,0
9,6,7,5,3,0,0,0,0,0,0
T,6,7,5,3,0,0,0,0,0,0
J,6,7,5,3,0,0,0,0,0,0
Q,6,7,5,3,0,0,0,0,0,0
K,6,7,5,3,0,0,0,0,0,0
A,7,7,5,3,0,0,0,0,0,0
2,7,7,5,3,4,1,0,0,0,1
3,7,7,5,3,4,1,0,0,0,1
4,7,7,5,3,4,1,0,0,0,1
5,7,7,5,3,0,0,0,0,0,0
6,7,7,5,3,0,0,0,0,0,0
7,7,7,5,3,31,0,0,1,0,1
8,7,7,5,3,0,0,0,0,0,0
9,7,7,5,3,0,0,0,0,0,0
T,7,7,5,3,0,0,0,0,0,0
J,7,7,5,3,0,0,0,0,0,0
Q,7,7,5,3,0,0,0,0,0,0
K,7,7,5,3,0,0,0,0,0,0
A,8,7,5,3,0,0,0,0,0,0
2,8,7,5,3,4,1,0,0,0,1
3,8,7,5,3,4,1,0,0,0,1
4,8,7,5,3,0,0,0,0,0,0
5,8,7,5,3,0,0,0,0,0,0
6,8,7,5,3,0,0,0,0,0,0
7,8,7,5,3,0,0,0,0,0,0
8,8,7,5,3,4,1,0,0,0,1
9,8,7,5,3,0,0,0,0,0,0
T,8,7,5,3,0,0,0,0,0,0
J,8,7,5,3,0,0,0,0,0,0
Q,8,7,5,3,0,0,0,0,0,0
K,8,7,5,3,0,0,0,0,0,0
A,9,7,5,3,0,0,0,0,0,0
2,9,7,5,3,4,1,0,0,0,1
3,9,7,5,3,0,0,0,0,0,0
4,9,7,5,3,0,0,0,0,0,0
5,9,7,5,3,0,0,0,0,0,0
6,9,7,5,3,0,0,0,0,0,0
7,9,7,5,3,0,0,0,0,0,0
8,9,7,5,3,0,0,0,0,0,0
9,9,7,5,3,4,1,0,0,0,1
T,9,7,5,3,0,0,0,0,0,0
J,9,7,5,3,0,0,0,0,0,0
Q,9,7,5,3,0,0,0,0,0,0
K,9,7,5,3,0,0,0,0,0,0
A,T,7,5,3,0,0,0,0,0,0
2,T,7,5,3,0,0,0,0,0,0
3,T,7,5,3,0,0,0,0,0,0
4,T,7,5,3,0,0,0,0,0,0
5,T,7,5,3,0,0,0,0,0,0
6,T,7,5,3,0,0,0,0,0,0
7,T,7,5,3,0,0,0,0,0,0
8,T,7,5,3,0,0,0,0,0,0
9,T,7,5,3,0,0,0,0,0,0
T,T,7,5,3,0,0,0,0,0,0
J,T,7,5,3,0,0,0,0,0,0
Q,T,7,5,3,0,0,0,0,0,0
K,T,7,5,3,0,0,0,0,0,0
A,J,7,5,3,0,0,0,0,0,0
2,J,7,5,3,0,0,0,0,0,0
3,J,7,5,3,0,0,0,0,0,0
4,J,7,5,3,0,0,0,0,0,0
5,J,7,5,3,0,0,0,0,0,0
6,J,7,5,3,0,0,0,0,0,0
7,J,7,5,3,0,0,0,0,0,0
8,J,7,5,3,0,0,0,0,0,0
9,J,7,5,3,0,0,0,0,0,0
T,J,7,5,3,0,0,0,0,0,0
J,J,7,5,3,0,0,0,0,0,0
Q,J,7,5,3,0,0,0,0,0,0
K,J,7,5,3,0,0,0,0,0,0
A,Q,7,5,3,0,0,0,0,0,0
2,Q,7,5,3,0,0,0,0,0,0
3,Q,7,5,3,0,0,0,0,0,0
4,Q,7,5,3,0,0,0,0,0,0
5,Q,7,5,3,0,0,0,0,0,0
6,Q,7,5,3,0,0,0,0,0,0
7,Q,7,5,3,0,0,0,0,0,0
8,Q,7,5,3,0,0,0,0,0,0
9,Q,7,5,3,0,0,0,0,0,0
T,Q,7,5,3,0,0,0,0,0,0
J,Q,7,5,3,0,0,0,0,0,0
Q,Q,7,5,3,0,0,0,0,0,0
K,Q,7,5,3,0,0,0,0,0,0
A,K,7,5,3,0,0,0,0,0,0
2,K,7,5,3,0,0,0,0,0,0
3,K,7,5,3,0,0,0,0,0,0
4,K,7,5,3,0,0,0,0,0,0
5,K,7,5,3,0,0,0,0,0,0
6,K,7,5,3,0,0,0,0,0,0
7,K,7,5,3,0,0,0,0,0,0
8,K,7,5,3,0,0,0,0,0,0
9,K,7,5,3,0,0,0,0,0,0
T,K,7,5,3,0,0,0,0,0,0
J,K,7,5,3,0,0,0,0,0,0
Q,K,7,5,3,0,0,0,0,0,0
K,K,7,5,3,0,0,0,0,0,0
A,A,8,5,3,4,1,0,0,0,1
2,A,8,5,3,0,0,0,0,0,0
3,A,8,5,3,0,0,0,0,0,0
4,A,8,5,3,0,0,0,0,0,0
5,A,8,5,3,0,0,0,0,0,0
6,A,8,5,3,0,0,0,0,0,0
7,A,8,5,3,0,0,0,0,0,0
8,A,8,5,3,0,0,0,0,0,0
9,A,8,5,3,0,0,0,0,0,0
T,A,8,5,3,0,0,0,0,0,0
J,A,8,5,3,0,0,0,0,0,0
Q,A,8,5,3,0,0,0,0,0,0
K,A,8,5,3,0,0,0,0,0,0
A,2,8,5,3,0,0,0,0,0,0
2,2,8,5,3,13,0,1,0,0,1
3,2,8,5,3,0,0,0,0,0,0
4,2,8,5,3,0,0,0,0,0,0
5,2,8,5,3,0,0,0,0,0,0
6,2,8,5,3,0,0,0,0,0,0
7,2,8,5,3,4,1,0,0,0,1
8,2,8,5,3,4,1,0,0,0,1
9,2,8,5,3,4,1,0,0,0,1
T,2,8,5,3,0,0,0,0,0,0
J,2,8,5,3,0,0,0,0,0,0
Q,2,8,5,3,0,0,0,0,0,0
K,2,8,5,3,0,0,0,0,0,0
A,3,8,5,3,0,0,0,0,0,0
2,3,8,5,3,0,0,0,0,0,0
3,3,8,5,3,13,0,1,0,0,1
4,3,8,5,3,0,0,0,0,0,0
5,3,8,5,3,0,0,0,0,0,0
6,3,8,5,3,4,1,0,0,0,1
7,3,8,5,3,4,1,0,0,0,1
8,3,8,5,3,4,1,0,0,0,1
9,3,8,5,3,0,0,0,0,0,0
T,3,8,5,3,0,0,0,0,0,0
J,3,8,5,3,0,0,0,0,0,0
Q,3,8,5,3,0,0,0,0,0,0
K,3,8,5,3,0,0,0,0,0,0
A,4,8,5,3,0,0,0,0,0,0
2,4,8,5,3,0,0,0,0,0,0
3,4,8,5,3,0,0,0,0,0,0
4,4,8,5,3,13,0,1,0,0,1
5,4,8,5,3,4,1,0,0,0,1
6,4,8,5,3,4,1,0,0,0,1
7,4,8,5,3,4,1,0,0,0,1
8,4,8,5,3,0,0,0,0,0,0
9,4,8,5,3,0,0,0,0,0,0
T,4,8,5,3,0,0,0,0,0,0
J,4,8,5,3,0,0,0,0,0,0
Q,4,8,5,3,0,0,0,0,0,0
K,4,8,5,3,0,0,0,0,0,0
A,5,8,5,3,0,0,0,0,0,0
2,5,8,5,3,0,0,0,0,0,0
3,5,8,5,3,0,0,0,0,0,0
4,5,8,5,3,4,1,0,0,0,1
5,5,8,5,3,13,0,1,0,0,1
6,5,8,5,3,4,1,0,0,0,1
7,5,8,5,3,0,0,0,0,0,0
8,5,8,5,3,0,0,0,0,0,0
9,5,8,5,3,0,0,0,0,0,0
T,5,8,5,3,0,0,0,0,0,0
J,5,8,5,3,0,0,0,0,0,0
Q,5,8,5,3,0,0,0,0,0,0
K,5,8,5,3,0,0,0,0,0,0
A,6,8,5,3,0,0,0,0,0,0
2,6,8,5,3,0,0,0,0,0,0
3,6,8,5,3,4,1,0,0,0,1
4,6,8,5,3,4,1,0,0,0,1
5,6,8,5,3,4,1,0,0,0,1
6,6,8,5,3,13,0,1,0,0,1
7,6,8,5,3,0,0,0,0,0,0
8,6,8,5,3,0,0,0,0,0,0
9,6,8,5,3,0,0,0,0,0,0
T,6,8,5,3,0,0,0,0,0,0
J,6,8,5,3,0,0,0,0,0,0
Q,6,8,5,3,0,0,0,0,0,0
K,6,8,5,3,0,0,0,0,0,0
A,7,8,5,3,0,0,0,0,0,0
2,7,8,5,3,4,1,0,0,0,1
3,7,8,5,3,4,1,0,0,0,1
4,7,8,5,3,4,1,0,0,0,1
5,7,8,5,3,0,0,0,0,0,0
6,7,8,5,3,0,0,0,0,0,0
7,7,8,5,3,4,1,0,0,0,1
8,7,8,5,3,0,0,0,0,0,0
9,7,8,5,3,0,0,0,0,0,0
T,7,8,5,3,0,0,0,0,0,0
J,7,8,5,3,0,0,0,0,0,0
Q,7,8,5,3,0,0,0,0,0,0
K,7,8,5,3,0,0,0,0,0,0
A,8,8,5,3,0,0,0,0,0,0
2,8,8,5,3,4,1,0,0,0,1
3,8,8,5,3,4,1,0,0,0,1
4,8,8,5,3,0,0,0,0,0,0
5,8,8,5,3,0,0,0,0,0,0
6,8,8,5,3,0,0,0,0,0,0
7,8,8,5,3,0,0,0,0,0,0
8,8,8,5,3,31,0,0,1,0,1
9,8,8,5,3,0,0,0,0,0,0
T,8,8,5,3,0,0,0,0,0,0
J,8,8,5,3,0,0,0,0,0,0
Q,8,8,5,3,0,0,0,0,0,0
K,8,8,5,3,0,0,0,0,0,0
A,9,8,5,3,0,0,0,0,0,0
2,9,8,5,3,4,1,0,0,0,1
3,9,8,5,3,0,0,0,0,0,0
4,9,8,5,3,0,0,0,0,0,0
5,9,8,5,3,0,0,0,0,0,0
6,9,8,5,3,0,0,0,0,0,0
7,9,8,5,3,0,0,0,0,0,0
8,9,8,5,3,0,0,0,0,0,0
9,9,8,5,3,4,1,0,0,0,1
T,9,8,5,3,0,0,0,0,0,0
J,9,8,5,3,0,0,0,0,0,0
Q,9,8,5,3,0,0,0,0,0,0
K,9,8,5,3,0,0,0,0,0,0
A,T,8,5,3,0,0,0,0,0,0
2,T,8,5,3,0,0,0,0,0,0
3,T,8,5,3,0,0,0,0,0,0
4,T,8,5,3,0,0,0,0,0,0
5,T,8,5,3,0,0,0,0,0,0
6,T,8,5,3,0,0,0,0,0,0
7,T,8,5,3,0,0,0,0,0,0
8,T,8,5,3,0,0,0,0,0,0
9,T,8,5,3,0,0,0,0,0,0
T,T,8,5,3,0,0,0,0,0,0
J,T,8,5,3,0,0,0,0,0,0
Q,T,8,5,3,0,0,0,0,0,0
K,T,8,5,3,0,0,0,0,0,0
A,J,8,5,3,0,0,0,0,0,0
2,J,8,5,3,0,0,0,0,0,0
3,J,8,5,3,0,0,0,0,0,0
4,J,8,5,3,0,0,0,0,0,0
5,J,8,5,3,0,0,0,0,0,0
6,J,8,5,3,0,0,0,0,0,0
7,J,8,5,3,0,0,0,0,0,0
8,J,8,5,3,0,0,0,0,0,0
9,J,8,5,3,0,0,0,0,0,0
T,J,8,5,3,0,0,0,0,0,0
J,J,8,5,3,0,0,0,0,0,0
Q,J,8,5,3,0,0,0,0,0,0
K,J,8,5,3,0,0,0,0,0,0
A,Q,8,5,3,0,0,0,0,0,0
2,Q,8,5,3,0,0,0,0,0,0
3,Q,8,5,3,0,0,0,0,0,0
4,Q,8,5,3,0,0,0,0,0,0
5,Q,8,5,3,0,0,0,0,0,0
6,Q,8,5,3,0,0,0,0,0,0
7,Q,8,5,3,0,0,0,0,0,0
8,Q,8,5,3,0,0,0,0,0,0
9,Q,8,5,3,0,0,0,0,0,0
T,Q,8,5,3,0,0,0,0,0,0
J,Q,8,5,3,0,0,0,0,0,0
Q,Q,8,5,3,0,0,0,0,0,0
K,Q,8,5,3,0,0,0,0,0,0
A,K,8,5,3,0,0,0,0,0,0
2,K,8,5,3,0,0,0,0,0,0
3,K,8,5,3,0,0,0,0,0,0
4,K,8,5,3,0,0,0,0,0,0
5,K,8,5,3,0,0,0,0,0,0
6,K,8,5,3,0,0,0,0,0,0
7,K,8,5,3,0,0,0,0,0,0
8,K,8,5,3,0,0,0,0,0,0
9,K,8,5,3,0,0,0,0,0,0
T,K,8,5,3,0,0,0,0,0,0
J,K,8,5,3,0,0,0,0,0,0
Q,K,8,5,3,0,0,0,0,0,0
K,K,8,5,3,0,0,0,0,0,0
A,A,9,5,3,4,1,0,0,0,1
2,A,9,5,3,0,0,0,0,0,0
3,A,9,5,3,0,0,0,0,0,0
4,A,9,5,3,0,0,0,0,0,0
5,A,9,5,3,0,0,0,0,0,0
6,A,9,5,3,0,0,0,0,0,0
7,A,9,5,3,0,0,0,0,0,0
8,A,9,5,3,0,0,0,0,0,0
9,A,9,5,3,0,0,0,0,0,0
T,A,9,5,3,0,0,0,0,0,0
J,A,9,5,3,0,0,0,0,0,0
Q,A,9,5,3,0,0,0,0,0,0
K,A,9,5,3,0,0,0,0,0,0
A,2,9,5,3,0,0,0,0,0,0
2,2,9,5,3,13,0,1,0,0,1
3,2,9,5,3,0,0,0,0,0,0
4,2,9,5,3,0,0,0,0,0,0
5,2,9,5,3,0,0,0,0,0,0
6,2,9,5,3,0,0,0,0,0,0
7,2,9,5,3,4,1,0,0,0,1
8,2,9,5,3,4,1,0,0,0,1
9,2,9,5,3,4,1,0,0,0,1
T,2,9,5,3,0,0,0,0,0,0
J,2,9,5,3,0,0,0,0,0,0
Q,2,9,5,3,0,0,0,0,0,0
K,2,9,5,3,0,0,0,0,0,0
A,3,9,5,3,0,0,0,0,0,0
2,3,9,5,3,0,0,0,0,0,0
3,3,9,5,3,4,1,0,0,0,1
4,3,9,5,3,0,0,0,0,0,0
5,3,9,5,3,0,0,0,0,0,0
6,3,9,5,3,4,1,0,0,0,1
7,3,9,5,3,4,1,0,0,0,1
8,3,9,5,3,4,1,0,0,0,1
9,3,9,5,3,0,0,0,0,0,0
T,3,9,5,3,0,0,0,0,0,0
J,3,9,5,3,0,0,0,0,0,0
Q,3,9,5,3,0,0,0,0,0,0
K,3,9,5,3,0,0,0,0,0,0
